periodo,asesor,fecha_operacion,contrato,comision,valor_neto,porcentaje_comision,forma_pago,numero_recibo,hoja_origen
202506,AE047,2025-06-11 00:00:00,GUPW9,1730.97,34619.33,0.05,efe,24807,B0001
202510,AE006,2025-10-20 00:00:00,JN4TM,1906.91,38138.17,0.05,transf,78856,B0001
202511,AE006,2025-11-23 00:00:00,WKB45,1558.11,31162.18,0.05,transf,71496,B0001
202503,AE011,2025-03-29 00:00:00,55T20,1673.15,16731.54,0.1,efe,81111,B0001
202508,AE026,2025-08-09 00:00:00,VK0Q0,1598.25,15982.49,0.1,transf,38615,B0001
202508,AE036,2025-08-16 00:00:00,B072S,1596.45,31928.9,0.05,tc,36058,B0001
202505,AE002,2025-05-06 00:00:00,O5W6W,2942.86,29428.6,0.1,transf,74353,B0001
202503,AE026,2025-03-11 00:00:00,H0Q8Y,4751.96,47519.57,0.1,transf,16965,B0001
202506,AE015,2025-06-02 00:00:00,V2KS8,910.15,9101.49,0.1,transf,64971,B0001
202508,AE014,2025-08-28 00:00:00,U8KEK,1655.67,33113.33,0.05,transf,59978,B0001
202503,AE002,2025-03-11 00:00:00,7FM7E,4030.59,40305.9,0.1,efe,80380,B0001
202509,AE004,2025-09-13 00:00:00,8MEYK,1724.5,17245.01,0.1,tc,90300,B0001
202504,AE028,2025-04-26 00:00:00,I8IW9,3398.17,22654.46,0.15,tc,64569,B0001
202510,AE050,2025-10-14 00:00:00,LDVDJ,4286.56,42865.55,0.1,transf,24956,B0001
202507,AE028,2025-07-20 00:00:00,S4LI1,691.11,6911.12,0.1,efe,38986,B0001
202501,AE011,2025-01-20 00:00:00,9LQTP,1218.58,12185.83,0.1,efe,66014,B0001
202512,AE005,2025-12-19 00:00:00,59T9W,3264.91,32649.11,0.1,transf,86473,B0001
202506,AE012,2025-06-23 00:00:00,ME147,4551.74,45517.43,0.1,transf,13284,B0001
202508,AE001,2025-08-28 00:00:00,DYQDF,1309.46,26189.25,0.05,efe,61149,B0001
202501,AE030,2025-01-19 00:00:00,7J5DG,472.9,3152.67,0.15,transf,34079,B0001
202504,AE030,2025-04-08 00:00:00,3OIKP,1494.52,9963.44,0.15,efe,59342,B0001
202507,AE028,2025-07-01 00:00:00,EM6ZR,2676.76,26767.55,0.1,transf,25910,B0001
202502,AE019,2025-02-18 00:00:00,YUXQI,3978.84,26525.6,0.15,transf,43194,B0001
202508,AE043,2025-08-31 00:00:00,7Y4C1,682.11,6821.13,0.1,transf,24030,B0001
202504,AE026,2025-04-04 00:00:00,CYSJ9,6669.62,44464.13,0.15,tc,62724,B0001
202501,AE018,2025-01-11 00:00:00,CZEHJ,2123.92,14159.46,0.15,tc,93641,B0001
202507,AE017,2025-07-21 00:00:00,9KO2I,4932.09,49320.9,0.1,transf,34142,B0001
202502,AE020,2025-02-06 00:00:00,8MYM1,2210.97,44219.37,0.05,tc,68045,B0001
202506,AE012,2025-06-26 00:00:00,GCTVF,2447.38,24473.82,0.1,efe,86354,B0001
202507,AE022,2025-07-26 00:00:00,I6HGB,3667.62,36676.19,0.1,transf,54226,B0001
202502,AE004,2025-02-16 00:00:00,T0FB5,59.4,1188.06,0.05,tc,18588,B0001
202510,AE027,2025-10-11 00:00:00,0WI0H,679.24,13584.75,0.05,efe,53936,B0001
202512,AE008,2025-12-08 00:00:00,NJG54,826.61,8266.07,0.1,tc,50763,B0001
202504,AE021,2025-04-19 00:00:00,CZXUV,1858.69,37173.79,0.05,tc,40181,B0001
202510,AE019,2025-10-23 00:00:00,FGQ3G,2037.3,40745.96,0.05,transf,92598,B0001
202501,AE048,2025-01-20 00:00:00,9VPAP,2073.9,41477.96,0.05,tc,55292,B0001
202509,AE013,2025-09-08 00:00:00,1Z84Z,2573.73,17158.18,0.15,transf,89986,B0001
202505,AE042,2025-05-19 00:00:00,PZZQU,2379.57,15863.79,0.15,tc,70780,B0001
202509,AE003,2025-09-26 00:00:00,VNUVC,1906.89,19068.92,0.1,tc,40414,B0001
202503,AE020,2025-03-04 00:00:00,18YV7,1690.49,11269.91,0.15,tc,66700,B0001
202505,AE006,2025-05-07 00:00:00,7FM7E,929.88,9298.82,0.1,tc,88468,B0001
202511,AE034,2025-11-17 00:00:00,PUHWB,2137.79,14251.9,0.15,tc,79434,B0001
202506,AE046,2025-06-08 00:00:00,HK1EZ,2331.61,46632.11,0.05,efe,65907,B0001
202509,AE002,2025-09-06 00:00:00,A6IS3,4429.88,44298.75,0.1,transf,62244,B0001
202509,AE024,2025-09-04 00:00:00,UT3CV,2014.7,40294,0.05,tc,56267,B0001
202510,AE022,2025-10-14 00:00:00,PWVTG,2051.52,41030.39,0.05,transf,59081,B0001
202506,AE012,2025-06-20 00:00:00,QKCOK,47.21,944.14,0.05,transf,47314,B0001
202510,AE047,2025-10-14 00:00:00,NL8HK,6288.98,41926.56,0.15,tc,44063,B0001
202504,AE010,2025-04-24 00:00:00,173YQ,3703.44,37034.37,0.1,efe,31763,B0001
202502,AE006,2025-02-03 00:00:00,ZAKCB,1464.39,29287.74,0.05,efe,49797,B0001
202503,AE019,2025-03-30 00:00:00,6T55P,5728.24,38188.29,0.15,transf,77649,B0001
202501,AE020,2025-01-08 00:00:00,0C346,800.69,8006.86,0.1,tc,85540,B0001
202503,AE026,2025-03-28 00:00:00,LUDR4,478.01,4780.07,0.1,efe,30506,B0001
202507,AE048,2025-07-21 00:00:00,JAY7Q,37.67,753.37,0.05,tc,10012,B0001
202504,AE022,2025-04-26 00:00:00,CSBT4,4188.24,41882.38,0.1,efe,59200,B0001
202505,AE001,2025-05-24 00:00:00,KQEA0,808.44,16168.88,0.05,transf,81487,B0001
202505,AE027,2025-05-25 00:00:00,3ECA2,1703.4,11356,0.15,tc,73665,B0001
202508,AE039,2025-08-01 00:00:00,VIZ5W,850,8499.98,0.1,efe,56674,B0001
202502,AE005,2025-02-09 00:00:00,63EHR,4869.79,48697.94,0.1,transf,82126,B0001
202507,AE014,2025-07-18 00:00:00,N7P8C,942.24,18844.73,0.05,efe,78017,B0001
202502,AE003,2025-02-25 00:00:00,0VL4N,1111.48,22229.58,0.05,tc,77371,B0001
202505,AE028,2025-05-14 00:00:00,I56IA,4893.8,48937.98,0.1,tc,99310,B0001
202505,AE013,2025-05-17 00:00:00,21FRP,539.77,10795.36,0.05,tc,71384,B0001
202505,AE029,2025-05-29 00:00:00,EKJAO,3040.63,20270.88,0.15,tc,87761,B0001
202510,AE050,2025-10-26 00:00:00,S0SOD,6635.46,44236.41,0.15,tc,16785,B0001
202509,AE029,2025-09-24 00:00:00,H2OVQ,1417.71,14177.05,0.1,transf,36200,B0001
202512,AE001,2025-12-22 00:00:00,VY6G2,2480.8,49615.93,0.05,tc,45475,B0001
202501,AE016,2025-01-06 00:00:00,ZHE36,3599.65,23997.68,0.15,efe,32166,B0001
202501,AE022,2025-01-03 00:00:00,8Z28D,2068.36,20683.56,0.1,transf,95517,B0001
202504,AE003,2025-04-23 00:00:00,DOHTT,1663.85,11092.31,0.15,tc,17385,B0001
202501,AE001,2025-01-24 00:00:00,C1ZZX,3936.27,26241.83,0.15,efe,42921,B0001
202511,AE043,2025-11-08 00:00:00,4PGL2,1405.06,28101.24,0.05,transf,64238,B0001
202510,AE003,2025-10-31 00:00:00,1G39J,936.5,6243.34,0.15,efe,22624,B0001
202507,AE049,2025-07-06 00:00:00,NC9RF,267.86,1785.75,0.15,transf,85219,B0001
202502,AE026,2025-02-19 00:00:00,STO3B,489.06,3260.43,0.15,tc,98479,B0001
202510,AE006,2025-10-17 00:00:00,8KGIQ,1536,10239.98,0.15,transf,12107,B0001
202509,AE013,2025-09-28 00:00:00,A9KIB,621.51,12430.26,0.05,tc,12622,B0001
202501,AE048,2025-01-07 00:00:00,X8T0V,6907.46,46049.76,0.15,efe,85418,B0001
202508,AE047,2025-08-25 00:00:00,4NPY5,1137.47,11374.67,0.1,tc,15475,B0001
202507,AE004,2025-07-22 00:00:00,PLHO0,1658.51,33170.24,0.05,transf,34302,B0001
202505,AE009,2025-05-05 00:00:00,TIOQ9,2624.9,17499.35,0.15,transf,69559,B0001
202507,AE012,2025-07-08 00:00:00,7CAT3,3892.28,38922.83,0.1,tc,45489,B0001
202504,AE018,2025-04-09 00:00:00,WVJ9F,2938.07,19587.12,0.15,efe,94869,B0001
202512,AE014,2025-12-25 00:00:00,UKIPK,1004.58,6697.22,0.15,transf,67490,B0001
202507,AE020,2025-07-24 00:00:00,8JG7L,1577.93,15779.33,0.1,efe,10212,B0001
202509,AE008,2025-09-04 00:00:00,OYBHT,1664.41,16644.05,0.1,tc,51920,B0001
202509,AE024,2025-09-26 00:00:00,3J81Q,4816.89,48168.89,0.1,transf,34900,B0001
202502,AE030,2025-02-15 00:00:00,RP6IP,985.25,19704.94,0.05,transf,22212,B0001
202504,AE025,2025-04-08 00:00:00,04ZM0,1386.39,13863.86,0.1,efe,39244,B0001
202507,AE047,2025-07-02 00:00:00,VU5SG,1018.36,20367.19,0.05,transf,93996,B0001
202508,AE022,2025-08-29 00:00:00,HBDJ6,858.53,5723.52,0.15,efe,47774,B0001
202509,AE033,2025-09-16 00:00:00,UECF3,1776.34,17763.4,0.1,tc,12821,B0001
202507,AE046,2025-07-05 00:00:00,3DU48,4127.59,41275.91,0.1,tc,49184,B0001
202503,AE042,2025-03-07 00:00:00,9YZ13,1185.75,23715.03,0.05,transf,39888,B0001
202510,AE026,2025-10-02 00:00:00,DYDBR,2262.76,45255.28,0.05,tc,47819,B0001
202509,AE024,2025-09-06 00:00:00,COVOY,1229.59,24591.79,0.05,transf,50466,B0001
202501,AE014,2025-01-24 00:00:00,5OCIQ,963.33,6422.19,0.15,efe,27139,B0001
202505,AE046,2025-05-20 00:00:00,AH5JZ,1621.94,32438.89,0.05,tc,93889,B0001
202504,AE033,2025-04-03 00:00:00,F3JVJ,1353.16,27063.21,0.05,tc,32254,B0001
